n_agents,majority_quota,seed,iterations,coalition_size,coalition_fraction,yes_votes,yes_fraction,runtime,version
3.0,1.0,42.0,2.0,3.0,1.0,3.0,1.0,1.423591041995678,after
3.0,1.0,123.0,2.0,3.0,1.0,3.0,1.0,1.4680911250034114,after
3.0,1.0,777.0,2.0,3.0,1.0,3.0,1.0,1.4651419580040963,after
5.0,0.5,42.0,2.0,3.0,0.6,5.0,1.0,1.4767779590038117,after
5.0,0.5,123.0,5.0,3.0,0.6,5.0,1.0,3.3422333749913378,after
5.0,0.5,777.0,4.0,3.0,0.6,4.0,0.8,2.3628002909972565,after
5.0,0.67,42.0,3.0,4.0,0.8,5.0,1.0,2.0009360419935547,after
5.0,0.67,123.0,6.0,5.0,1.0,5.0,1.0,3.5879491670057178,after
5.0,0.67,777.0,5.0,5.0,1.0,5.0,1.0,2.9351778340060264,after
5.0,1.0,42.0,4.0,5.0,1.0,4.0,0.8,2.5891265829995973,after
5.0,1.0,123.0,6.0,5.0,1.0,5.0,1.0,3.5759065419988474,after
5.0,1.0,777.0,5.0,5.0,1.0,5.0,1.0,2.8412792080052895,after
7.0,0.5,42.0,5.0,5.0,0.7142857142857143,7.0,1.0,3.025328834002721,after
7.0,0.5,123.0,3.0,4.0,0.5714285714285714,6.0,0.8571428571428571,1.998579500010237,after
7.0,0.5,777.0,7.0,4.0,0.5714285714285714,7.0,1.0,4.753385250005522,after
7.0,0.67,42.0,5.0,5.0,0.7142857142857143,7.0,1.0,3.0542527089855867,after
7.0,0.67,123.0,5.0,5.0,0.7142857142857143,7.0,1.0,2.9255234169977484,after
7.0,0.67,777.0,8.0,7.0,1.0,7.0,1.0,4.622792458991171,after
7.0,1.0,42.0,6.0,7.0,1.0,7.0,1.0,4.193450458013103,after
7.0,1.0,123.0,6.0,7.0,1.0,7.0,1.0,3.8249432079901458,after
7.0,1.0,777.0,8.0,7.0,1.0,7.0,1.0,5.038618750011665,after
10.0,0.5,42.0,9.0,5.0,0.5,10.0,1.0,5.240464917005738,after
10.0,0.5,123.0,6.0,6.0,0.6,10.0,1.0,3.923604416006128,after
10.0,0.5,777.0,8.0,5.0,0.5,10.0,1.0,5.0440103330038255,after
10.0,0.67,42.0,12.0,7.0,0.7,10.0,1.0,6.971252625007764,after
10.0,0.67,123.0,7.0,7.0,0.7,10.0,1.0,4.547890082991216,after
10.0,0.67,777.0,10.0,10.0,1.0,9.0,0.9,6.315293667008518,after
10.0,1.0,42.0,13.0,10.0,1.0,9.0,0.9,8.19803137499548,after
10.0,1.0,123.0,9.0,10.0,1.0,9.0,0.9,6.092270542008919,after
10.0,1.0,777.0,10.0,10.0,1.0,9.0,0.9,20.879495000001043,after
12.0,0.5,42.0,9.0,6.0,0.5,10.0,0.8333333333333334,5.359435916005168,after
12.0,0.5,123.0,11.0,7.0,0.5833333333333334,11.0,0.9166666666666666,10.372285541001474,after
12.0,0.5,777.0,10.0,7.0,0.5833333333333334,11.0,0.9166666666666666,9.273750916996503,after
12.0,0.67,42.0,12.0,12.0,1.0,11.0,0.9166666666666666,6.368746166001074,after
12.0,0.67,123.0,13.0,9.0,0.75,10.0,0.8333333333333334,7.827523291998659,after
12.0,0.67,777.0,11.0,10.0,0.8333333333333334,11.0,0.9166666666666666,6.584426750006969,after
12.0,1.0,42.0,12.0,12.0,1.0,11.0,0.9166666666666666,6.5057655420096125,after
12.0,1.0,123.0,16.0,12.0,1.0,10.0,0.8333333333333334,9.352951666995068,after
12.0,1.0,777.0,12.0,12.0,1.0,10.0,0.8333333333333334,6.411875542005873,after
15.0,0.5,42.0,14.0,10.0,0.6666666666666666,14.0,0.9333333333333332,7.815918833002797,after
15.0,0.5,123.0,11.0,10.0,0.6666666666666666,14.0,0.9333333333333332,7.177415291997022,after
15.0,0.5,777.0,15.0,14.0,0.9333333333333332,15.0,1.0,8.39947933300573,after
15.0,0.67,42.0,15.0,15.0,1.0,13.0,0.8666666666666667,8.42287020799995,after
15.0,0.67,123.0,12.0,11.0,0.7333333333333333,13.0,0.8666666666666667,8.400410624992219,after
15.0,0.67,777.0,15.0,14.0,0.9333333333333332,15.0,1.0,9.13587870800984,after
15.0,1.0,42.0,15.0,15.0,1.0,13.0,0.8666666666666667,8.549781749999966,after
15.0,1.0,123.0,15.0,15.0,1.0,14.0,0.9333333333333332,9.71396387500863,after
15.0,1.0,777.0,16.0,15.0,1.0,15.0,1.0,12.24970820901217,after
